V,I (mA),I
0.5715,0.00525,5.25
0.5515,0.00503,5.03
0.5315,0.0048,4.8
0.5115,0.00458,4.58
0.491,0.00436,4.36
0.471,0.00414,4.14
0.451,0.00392,3.92
0.431,0.00371,3.71
0.411,0.0035,3.5
0.391,0.0033,3.3
0.371,0.00309,3.09
0.351,0.00289,2.89
0.331,0.00269,2.69
0.311,0.0025,2.5
0.2905,0.0023,2.3
0.2705,0.00212,2.12
0.2505,0.00193,1.93
0.2305,0.00175,1.75
0.2105,0.00158,1.58
0.1905,0.0014,1.4
0.1705,0.00123,1.23
0.1505,0.00108,1.08
0.1305,9.16E-04,9.16E-01
0.1105,7.61E-04,7.61E-01
0.09,6.12E-04,6.12E-01
0.07,4.70E-04,4.70E-01
0.05,3.26E-04,3.26E-01
0.03,1.91E-04,1.91E-01
0.01,5.63E-05,5.63E-02
-0.01,-6.86E-05,-6.86E-02
-0.03,-2.02E-04,-2.02E-01
-0.05,-3.32E-04,-3.32E-01
-0.07,-4.59E-04,-4.59E-01
-0.09,-5.90E-04,-5.90E-01
-0.1105,-7.23E-04,-7.23E-01
-0.1305,-8.56E-04,-8.56E-01
-0.1505,-9.95E-04,-9.95E-01
-0.1705,-0.00113,-1.13
-0.1905,-0.00127,-1.27
-0.2105,-0.00141,-1.41
-0.2305,-0.00155,-1.55
-0.2505,-0.0017,-1.7
-0.2705,-0.00186,-1.86
-0.2905,-0.00201,-2.01
-0.311,-0.00216,-2.16
-0.331,-0.00233,-2.33
-0.351,-0.00248,-2.48
-0.371,-0.00265,-2.65
-0.391,-0.00281,-2.81
-0.411,-0.00298,-2.98
-0.431,-0.00314,-3.14
-0.451,-0.00331,-3.31
-0.471,-0.00348,-3.48
-0.491,-0.00365,-3.65
-0.5115,-0.00383,-3.83
-0.5315,-0.00401,-4.01
-0.5515,-0.00419,-4.19
-0.5715,-0.00436,-4.36
-0.5915,-0.00455,-4.55
-0.6115,-0.00473,-4.73
-0.6315,-0.00491,-4.91
-0.6515,-0.00509,-5.09
-0.6715,-0.00528,-5.28
-0.6915,-0.00546,-5.46
-0.712,-0.00566,-5.66
-0.732,-0.00585,-5.85
-0.752,-0.00604,-6.04
-0.772,-0.00623,-6.23
-0.792,-0.00642,-6.42
-0.812,-0.00662,-6.62
-0.832,-0.00681,-6.81
-0.852,-0.007,-7
-0.872,-0.00719,-7.19
-0.892,-0.00738,-7.38
-0.9125,-0.00759,-7.59
-0.9325,-0.00778,-7.78
-0.9525,-0.00799,-7.99
-0.9725,-0.00818,-8.18
-0.9925,-0.00838,-8.38
-1.0125,-0.00858,-8.58
-1.0325,-0.00878,-8.78
-1.0525,-0.00898,-8.98
-1.0725,-0.00918,-9.18
-1.0925,-0.00938,-9.38
-1.113,-0.00958,-9.58
-1.133,-0.00978,-9.78
-1.153,-0.00998,-9.98
-1.173,-0.01018,-10.18
-1.193,-0.01038,-10.38
-1.213,-0.01058,-10.58
-1.233,-0.01078,-10.78
-1.253,-0.01097,-10.97
-1.273,-0.01117,-11.17
-1.293,-0.01137,-11.37
-1.3135,-0.01157,-11.57
-1.3335,-0.01176,-11.76
-1.3535,-0.01196,-11.96
-1.3735,-0.01216,-12.16
-1.3935,-0.01235,-12.35
-1.4135,-0.01254,-12.54
-1.4335,-0.01274,-12.74
-1.4535,-0.01292,-12.92
